epoch,train_loss,train_time,val_loss,val_acc
1,0.602201030810674,100.81675624847412,0.3909662131886733,0.8693421052631579
2,0.3237204129378001,100.4614884853363,0.3352993869781494,0.8828947368421053
3,0.2561427951812744,100.10399341583252,0.33259443540322153,0.8852631578947369
4,0.2087980783224106,100.10113024711609,0.31140074635806836,0.8971052631578947
5,0.17079987440903982,100.25308847427368,0.3761832737295251,0.8868421052631579
6,0.14034610700209935,99.98696970939636,0.33714962984386243,0.8957894736842106
7,0.11571649910608928,100.12324643135071,0.3761330728781851,0.8898684210526315
8,0.09764137424031893,100.00273776054382,0.41933551763233384,0.8864473684210527
9,0.08374222478767236,100.13825941085815,0.41912810237784137,0.890921052631579
10,0.07108174034456412,99.9817442893982,0.4310306533386833,0.8927631578947368
11,0.0635053102582693,99.82864880561829,0.41916411619437366,0.8944736842105263
12,0.05725488341003657,100.0304639339447,0.4549680029091082,0.8906578947368421
13,0.05192045463770628,99.73634552955627,0.4920650237484982,0.8902631578947369
14,0.04709882368495067,99.64695453643799,0.5105962343592393,0.89
15,0.043511998048921426,99.80037784576416,0.4838268680321543,0.8910526315789473
16,0.04004343423011402,99.93270874023438,0.47364792183825843,0.8868421052631579
17,0.0393700071323663,99.76361012458801,0.4910232826910521,0.8880263157894737
18,0.03656603426784277,99.58875751495361,0.5209367918968201,0.8976315789473684
19,0.03511844491312901,99.70790982246399,0.5551362561552148,0.8886842105263157
20,0.03422838916319112,99.64411973953247,0.5537346232564826,0.8925
